label,original_path,sample_path,filename
Pepper__bell___Bacterial_spot,../input/plantdisease/PlantVillage/Pepper__bell___Bacterial_spot/b3cb19d0-df9b-4705-ab26-40aafab8ecca___JR_B.Spot 3206.JPG,plant_disease_samples/Pepper__bell___Bacterial_spot/b3cb19d0-df9b-4705-ab26-40aafab8ecca___JR_B.Spot 3206.JPG,b3cb19d0-df9b-4705-ab26-40aafab8ecca___JR_B.Spot 3206.JPG
Pepper__bell___Bacterial_spot,../input/plantdisease/PlantVillage/Pepper__bell___Bacterial_spot/2edf5fe8-706b-4ce7-8b59-dc6bfa4b6b42___JR_B.Spot 8823.JPG,plant_disease_samples/Pepper__bell___Bacterial_spot/2edf5fe8-706b-4ce7-8b59-dc6bfa4b6b42___JR_B.Spot 8823.JPG,2edf5fe8-706b-4ce7-8b59-dc6bfa4b6b42___JR_B.Spot 8823.JPG
Pepper__bell___Bacterial_spot,../input/plantdisease/PlantVillage/Pepper__bell___Bacterial_spot/28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG,plant_disease_samples/Pepper__bell___Bacterial_spot/28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG,28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG
Pepper__bell___Bacterial_spot,../input/plantdisease/PlantVillage/Pepper__bell___Bacterial_spot/d976cf27-8d18-4ecf-9dd1-c462e807e9a3___NREC_B.Spot 9139.JPG,plant_disease_samples/Pepper__bell___Bacterial_spot/d976cf27-8d18-4ecf-9dd1-c462e807e9a3___NREC_B.Spot 9139.JPG,d976cf27-8d18-4ecf-9dd1-c462e807e9a3___NREC_B.Spot 9139.JPG
Pepper__bell___Bacterial_spot,../input/plantdisease/PlantVillage/Pepper__bell___Bacterial_spot/f3cc0f80-ee73-47d4-b084-fd811ebe0206___NREC_B.Spot 1917.JPG,plant_disease_samples/Pepper__bell___Bacterial_spot/f3cc0f80-ee73-47d4-b084-fd811ebe0206___NREC_B.Spot 1917.JPG,f3cc0f80-ee73-47d4-b084-fd811ebe0206___NREC_B.Spot 1917.JPG
Pepper__bell___healthy,../input/plantdisease/PlantVillage/Pepper__bell___healthy/f61b245c-cfa1-4505-b91b-c318de0c42a7___JR_HL 8625.JPG,plant_disease_samples/Pepper__bell___healthy/f61b245c-cfa1-4505-b91b-c318de0c42a7___JR_HL 8625.JPG,f61b245c-cfa1-4505-b91b-c318de0c42a7___JR_HL 8625.JPG
Pepper__bell___healthy,../input/plantdisease/PlantVillage/Pepper__bell___healthy/7b6f5f09-cea5-4b1c-91c7-18207527c837___JR_HL 8652.JPG,plant_disease_samples/Pepper__bell___healthy/7b6f5f09-cea5-4b1c-91c7-18207527c837___JR_HL 8652.JPG,7b6f5f09-cea5-4b1c-91c7-18207527c837___JR_HL 8652.JPG
Pepper__bell___healthy,../input/plantdisease/PlantVillage/Pepper__bell___healthy/f6cf7e4b-5a82-4383-818d-f68c887fb2c2___JR_HL 7746.JPG,plant_disease_samples/Pepper__bell___healthy/f6cf7e4b-5a82-4383-818d-f68c887fb2c2___JR_HL 7746.JPG,f6cf7e4b-5a82-4383-818d-f68c887fb2c2___JR_HL 7746.JPG
Pepper__bell___healthy,../input/plantdisease/PlantVillage/Pepper__bell___healthy/3c3ae39d-c397-4ad0-a95f-88d46cd15427___JR_HL 8210.JPG,plant_disease_samples/Pepper__bell___healthy/3c3ae39d-c397-4ad0-a95f-88d46cd15427___JR_HL 8210.JPG,3c3ae39d-c397-4ad0-a95f-88d46cd15427___JR_HL 8210.JPG
Pepper__bell___healthy,../input/plantdisease/PlantVillage/Pepper__bell___healthy/439acdce-2761-4e9b-8db5-9b204395b2fa___JR_HL 8136.JPG,plant_disease_samples/Pepper__bell___healthy/439acdce-2761-4e9b-8db5-9b204395b2fa___JR_HL 8136.JPG,439acdce-2761-4e9b-8db5-9b204395b2fa___JR_HL 8136.JPG
Potato___Early_blight,../input/plantdisease/PlantVillage/Potato___Early_blight/f12d7916-b4f0-46f7-91bd-8dc097743149___RS_Early.B 8963.JPG,plant_disease_samples/Potato___Early_blight/f12d7916-b4f0-46f7-91bd-8dc097743149___RS_Early.B 8963.JPG,f12d7916-b4f0-46f7-91bd-8dc097743149___RS_Early.B 8963.JPG
Potato___Early_blight,../input/plantdisease/PlantVillage/Potato___Early_blight/ddc6aed7-43bd-49bc-88d0-6f942acb362a___RS_Early.B 7328.JPG,plant_disease_samples/Potato___Early_blight/ddc6aed7-43bd-49bc-88d0-6f942acb362a___RS_Early.B 7328.JPG,ddc6aed7-43bd-49bc-88d0-6f942acb362a___RS_Early.B 7328.JPG
Potato___Early_blight,../input/plantdisease/PlantVillage/Potato___Early_blight/4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,plant_disease_samples/Potato___Early_blight/4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG
Potato___Early_blight,../input/plantdisease/PlantVillage/Potato___Early_blight/b17bf28e-c272-4a24-9f45-7d3a343de49f___RS_Early.B 7620.JPG,plant_disease_samples/Potato___Early_blight/b17bf28e-c272-4a24-9f45-7d3a343de49f___RS_Early.B 7620.JPG,b17bf28e-c272-4a24-9f45-7d3a343de49f___RS_Early.B 7620.JPG
